"row/col";"alexeys";"bruce";"ddevienne";"kevj";"stevel";"conor";"sbailliez";"peterreilly";"jglick";"bodewig";"jkf";"antoine"
"alexeys";"4.0";"0.0";"1.0";"1.0";"1.0";"1.0";"4.0";"2.0";"1.0";"1.0";"1.0";"1.0"
"bruce";"0.0";"0.0";"0.0";"0.0";"1.0";"0.0";"0.0";"0.0";"0.0";"1.0";"1.0";"0.0"
"ddevienne";"1.0";"0.0";"2.0";"2.0";"2.0";"1.0";"1.0";"1.0";"1.0";"1.0";"0.0";"1.0"
"kevj";"1.0";"0.0";"2.0";"2.0";"1.0";"1.0";"1.0";"1.0";"3.0";"4.0";"1.0";"1.0"
"stevel";"1.0";"1.0";"2.0";"1.0";"2.0";"1.0";"1.0";"3.0";"1.0";"1.0";"1.0";"1.0"
"conor";"1.0";"0.0";"1.0";"1.0";"1.0";"2.0";"0.0";"1.0";"0.0";"1.0";"0.0";"1.0"
"sbailliez";"4.0";"0.0";"1.0";"1.0";"1.0";"0.0";"0.0";"1.0";"0.0";"5.0";"0.0";"0.0"
"peterreilly";"2.0";"0.0";"1.0";"1.0";"3.0";"1.0";"1.0";"2.0";"1.0";"1.0";"1.0";"2.0"
"jglick";"1.0";"0.0";"1.0";"3.0";"1.0";"0.0";"0.0";"1.0";"2.0";"1.0";"2.0";"1.0"
"bodewig";"1.0";"1.0";"1.0";"4.0";"1.0";"1.0";"5.0";"1.0";"1.0";"2.0";"1.0";"3.0"
"jkf";"1.0";"1.0";"0.0";"1.0";"1.0";"0.0";"0.0";"1.0";"2.0";"1.0";"0.0";"2.0"
"antoine";"1.0";"0.0";"1.0";"1.0";"1.0";"1.0";"0.0";"2.0";"1.0";"3.0";"2.0";"2.0"
