COLLABORATORS;bruce;bodewig;mbenson;ddevienne;jglick;conor;antoine;peterreilly;jkf;stevel;kevj;jhm;alexeys;umagesh;sbailliez
bruce;2;1;1;2;0;2;0;1;2;2;0;1;1;0;1
bodewig;1;71;17;13;4;3;0;7;2;28;1;6;1;2;1
mbenson;1;19;37;7;1;3;0;7;2;9;0;0;0;0;1
ddevienne;2;13;7;25;1;3;0;8;2;9;1;3;1;1;2
jglick;0;4;1;1;5;0;0;0;1;3;0;1;0;0;0
conor;2;3;3;3;0;6;0;2;2;4;0;2;1;0;1
antoine;0;5;3;3;0;1;0;3;0;1;0;1;0;0;1
peterreilly;1;7;7;9;0;2;0;31;3;3;1;4;0;0;0
jkf;2;2;2;2;1;2;0;2;11;3;0;4;1;0;1
stevel;2;31;8;12;4;4;0;3;3;53;1;5;2;0;2
kevj;1;6;1;4;2;1;0;2;2;7;4;4;1;0;1
jhm;1;6;0;3;1;2;0;4;4;5;0;46;1;0;1
alexeys;1;3;1;3;0;1;0;1;1;3;0;2;2;0;1
umagesh;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0
sbailliez;1;1;1;2;0;1;0;0;1;2;0;1;1;0;3
